dataset,column,data_type,pii_type
customer_profiles,customer_id,uuid,none
customer_profiles,full_name,string,name
customer_profiles,email,string,email
customer_profiles,phone,string,phone
customer_profiles,dob,date,dob
customer_profiles,address,string,address
customer_events,event_id,string,none
customer_events,customer_id,uuid,none
customer_events,event_type,string,none
customer_events,ip_address,string,ip
orders,order_id,string,none
orders,customer_id,uuid,none
orders,amount,decimal,none
payments,payment_id,string,none
payments,card_last4,string,financial
payments,billing_email,string,email
marketing_leads,lead_id,string,none
marketing_leads,email,string,email
marketing_leads,phone,string,phone
product_catalog,sku,string,none
product_catalog,title,string,none
support_tickets,ticket_id,string,none
support_tickets,customer_email,string,email
support_tickets,transcript,text,sensitive_text
web_analytics,session_id,string,none
web_analytics,country,string,none
